"","countries","text"
"1","Bogota","15 [11 - 18]"
"2","Cali","13 [9.6 - 17]"
"3","Medellin","58 [53 - 64]"
"4","Barranquilla","75 [53 - 97]"
"5","Cartagena","18 [14 - 24]"
"6","Cundinamarca","71 [66 - 75]"
"7","Valle","10 [7.7 - 14]"
"8","Antioquia","15 [6.9 - 39]"
"9","Bolivar","11 [8.2 - 21]"
"10","Atlantico","40 [15 - 99]"
"11","Narino","58 [53 - 63]"
"2.5%","Total","28 [24 - 38]"
