"","countries","text"
"1","Bogota","2,700 [2,300 - 3,200]"
"2","Cali","730 [600 - 880]"
"3","Medellin","7,300 [6,500 - 8,200]"
"4","Barranquilla","2,400 [1,500 - 4,500]"
"5","Cartagena","500 [430 - 590]"
"6","Cundinamarca","8,500 [7,400 - 9,700]"
"7","Valle","1,000 [880 - 1,200]"
"8","Antioquia","730 [490 - 1,200]"
"9","Bolivar","620 [510 - 740]"
"10","Atlantico","2,600 [1,000 - 7,600]"
"11","Narino","5,500 [5,000 - 6,100]"
"2.5%","Total","33,000 [29,000 - 40,000]"
